GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
25,3.87,10.27,10.68,0.2,0.11,0.0,-0.86,-103.51,8.95,126.67,-25.96,1.89,56.38,-24.06,32.31
26,6.32,9.82,11.41,0.22,0.0,0.0,-0.76,-109.01,8.37,130.84,-24.99,1.9,57.2,-23.09,34.11
27,5.73,9.31,9.18,0.02,0.11,0.0,-0.82,-106.27,10.19,125.62,-24.05,1.89,53.07,-22.16,30.91
28,3.17,4.9,9.98,0.06,0.0,0.0,-0.91,-110.85,10.29,132.36,-23.07,1.87,49.0,-21.19,27.81
29,3.99,14.04,11.18,0.1,0.02,0.0,-0.91,-105.19,10.8,121.54,-24.29,1.88,55.59,-22.41,33.18
30,2.13,7.38,10.93,0.0,0.01,0.0,-0.86,-109.14,8.32,132.6,-23.15,1.89,51.36,-21.26,30.09
31,13.83,7.59,9.13,0.01,0.17,0.0,-0.82,-105.58,8.02,126.0,-25.9,1.91,58.35,-23.99,34.36
32,5.09,10.42,16.18,0.05,0.03,0.0,-0.82,-107.31,7.26,127.03,-23.94,1.89,57.94,-22.05,35.89
33,7.86,12.42,10.55,0.04,0.0,0.0,-0.7,-103.6,6.88,121.37,-24.91,1.89,54.83,-23.01,31.81
34,4.76,5.99,12.27,0.15,0.04,0.0,-0.81,-94.6,7.67,126.79,-31.22,1.89,62.26,-29.33,32.93
35,5.16,12.67,10.28,0.05,0.59,0.0,-0.79,-91.9,6.53,121.46,-31.68,1.91,64.04,-29.77,34.27
36,2.89,7.57,15.17,0.05,0.0,0.0,-0.83,-97.32,8.36,127.52,-27.9,1.88,63.4,-26.02,37.39
37,6.66,5.65,11.88,0.02,0.06,0.0,-0.91,-102.96,7.7,128.64,-27.99,1.89,56.74,-26.1,30.64
38,5.7,11.6,12.27,0.46,0.32,0.0,-0.9,-104.49,6.85,127.67,-26.74,1.88,59.47,-24.86,34.61
39,4.78,5.94,10.38,0.05,0.01,0.0,-0.89,-93.87,9.29,128.3,-30.54,1.87,63.99,-28.67,35.32
40,4.77,6.16,12.12,0.0,0.0,0.0,-0.82,-94.56,9.06,122.19,-29.55,1.88,58.93,-27.66,31.27
41,5.37,9.47,12.07,0.06,0.03,0.0,-0.82,-90.82,7.03,119.08,-31.02,1.9,61.47,-29.13,32.35
